technology_type,mean_download_kbps_mean,mean_download_kbps_std,mean_upload_kbps_mean,mean_upload_kbps_std,mean_latency_ms_mean,mean_latency_ms_std,high_confidence_anomaly_sum,high_confidence_anomaly_mean,high_confidence_anomaly_count,iso_anomaly_sum,ocsvm_anomaly_sum,ae_anomaly_sum,anomaly_rate
5G,301105.7350054526,105490.93168852186,30861.016357688113,11267.959451880579,30.40185387131952,11.040984841092373,162,0.08833151581243184,1834,236,154,160,8.833151581243184
LTE,60748.19760479042,34431.474067600764,13232.005988023951,6021.707873513039,39.679266467065865,17.682377279460802,65,0.024326347305389222,2672,51,102,77,2.4326347305389224
Multi-RAT,144095.19972067038,87734.00755354173,19322.36843575419,9213.05610005277,37.732960893854745,16.93788852804138,122,0.03407821229050279,3580,118,151,168,3.4078212290502794
